"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4341","Check text box submission with randomized text","","Thu Apr 17 23:55:13 CST 2025","passed","Thu Apr 17 23:55:17 CST 2025","","Test text box elements functionality","",""
"","7364","Verify check boxes can be checked and are displayed in the ""you have selected box""","","Thu Apr 17 23:54:38 CST 2025","passed","Thu Apr 17 23:54:46 CST 2025","","Test elements functionality","",""
"","4156","Verify check boxes can be unchecked","","Thu Apr 17 23:54:51 CST 2025","passed","Thu Apr 17 23:54:55 CST 2025","","Test elements functionality","",""
"","3376","Verify yes radio button can be checked""","","Thu Apr 17 23:54:58 CST 2025","passed","Thu Apr 17 23:55:01 CST 2025","","Test elements functionality","",""
"","8134","Verify banner image redirects to the selenium training page","","Thu Apr 17 23:55:52 CST 2025","passed","Thu Apr 17 23:56:00 CST 2025","","DemoQA Homepage Functionality","",""
"","5181","Check text box submission with static text","","Thu Apr 17 23:55:07 CST 2025","passed","Thu Apr 17 23:55:12 CST 2025","","Test text box elements functionality","",""
"","3936","Verify new tab button opens a new tab","","Thu Apr 17 23:55:28 CST 2025","passed","Thu Apr 17 23:55:32 CST 2025","","Test elements functionality","",""
"","10956","Verify category cards are visible and take user to the correct URL","","Thu Apr 17 23:55:41 CST 2025","passed","Thu Apr 17 23:55:52 CST 2025","","DemoQA Homepage Functionality","",""
"","2514","Verify Click Button to see alert","","Thu Apr 17 23:55:23 CST 2025","passed","Thu Apr 17 23:55:25 CST 2025","","Test elements functionality","",""
"","2799","Verify new window button opens a new window","","Thu Apr 17 23:55:32 CST 2025","passed","Thu Apr 17 23:55:35 CST 2025","","Test elements functionality","",""
"","3500","Verify impressive radio button can be checked""","","Thu Apr 17 23:55:01 CST 2025","passed","Thu Apr 17 23:55:05 CST 2025","","Test elements functionality","",""
"","2835","Verify New Window Message button opens","","Thu Apr 17 23:55:35 CST 2025","passed","Thu Apr 17 23:55:38 CST 2025","","Test elements functionality","",""
"","4851","Verify header redirects to homepage","","Thu Apr 17 23:56:00 CST 2025","passed","Thu Apr 17 23:56:05 CST 2025","","DemoQA Homepage Functionality","",""
"","4304","Verify parent check boxes are checked when all child elements are checked","","Thu Apr 17 23:54:46 CST 2025","passed","Thu Apr 17 23:54:50 CST 2025","","Test elements functionality","",""
"","2798","Check email input with invalid email","","Thu Apr 17 23:55:18 CST 2025","passed","Thu Apr 17 23:55:20 CST 2025","","Test text box elements functionality","",""
